raw,processed
"Aplikasi nya minta diperbarui tapi, selsai diperbarui aplikasi enggak bisa minta kode verivikasi tapi sms kodenya masuknya telat nunggu waktu habis baru sms masuk, jaringan enggak bermasalh aman aman aja, ngapain diperbarui kalau ribet, solusi dong min gimana, udah ditop up baru minta perbarui",meminta diperbarui selsai diperbarui meminta kode verivikasi sms kodenya masuknya terlambat menunggu waktu habis sms masuk jaringan bermasalh aman aman sedang apa diperbarui ribet solusi min ditop up meminta perbarui
Uang saya di aplikasi link aja gak bisa di ambil ...ya apa coba. ..kasik bantuan nya agar bisa di ambil.. Sudah di coba berkali- kali ttp gak bisa ..,uang link ambil coba kasik bantuan ambil coba berkali kali tetap
Tiba tiba log out sendiri pdhl saya tidak pernah log out ada apa ini ?? Log out disaat hendak urgent begitu mau masuk lagi error'.... Payah sekali,tiba tiba log out log out log out disaat urgent masuk error payah
"Jadilah dompet digital dan smartpayment yang lebih baik seperti aplikasi serupa lainnya memiliki lebih bnyk fitur, buatlah fitur yang beda yg semua aplikasi blm miliki tetap lah berkembang semoga menjadi aplikasi no 1 terpercaya dan paling bnyk diunduh",jadilah dompet digital smartpayment baik memiliki fitur buatlah fitur beda miliki tetap berkembang semoga menjadi no terpercaya diunduh
"Saat saya update ke versi terbaru, saya tidak bisa mengakses akun link aja saya karna nomor tsb sudah tidak saya gunakan lagi. Padahal akun saya tersebut telah full service. Saya berharap bisa menggunakan akun saya tersebut seperti biasa. Apakah akun tersebut bisa diganti nomor? Terimakasih",update versi terbaru mengakses akun link nomor gunakan akun full service berharap menggunakan akun akun diganti nomor terimakasih
Cukup maximal di kasih 1 aja. Tak akan di tambah lagi Logout melulu Minta verifikasi email melulu Pdhl sudah dan sering verifikasi email dan nomor Jd tiap mau transaksi selalu terhambat .,cukup maximal tambah logout melulu meminta verifikasi email melulu verifikasi email nomor jadi transaksi terhambat
"Saya upgrade ke versi 4.18.1 kok jadi tidak bisa di buka ya? Hang..... Teman saya juga download untuk pertama kali, hp nya langsung jadi kedip2 di versi ini. Tolong di perbaiki BUGnya. Terimakasih",upgrade versi jadi hang teman download untuk pertama kali handphone langsung jadi kedip versi perbaiki bugnya terimakasih
"Sangat baik.saat ada masalah nelpon ke pusatnya.hari itu juga langsung ditangani. Mudah""an berharap agar lebih baik lagi untuk apl link aja ya.",baik masalah nelpon pusatnya langsung ditangani mudah an berharap baik untuk apl link
"Kenapa untuk upgrade akun sulit sekali??? Foto ktp saya blur, dan itu masa aktif seumur hidup Tolong beri kemudahan seperti apk sebelah, dengan melampirkan dokumen lain.",untuk upgrade akun sulit foto ktp blur masa aktif seumur hidup beri kemudahan sebelah melampirkan dokumen
"Habis update kok malah data kontak gak bisa ditemukan,mau isi pulsa harus ketik nomernya, lewat pencarian kontak, gak ada datanya, gmna tuh",habis update data kontak ditemukan isi pulsa ketik nomernya lewat pencarian kontak datanya gimana
"Aplikasi bagus, hanya saja saya kebingungan mencari Bank Syariah Indonesia (BSI) dan Virtual Akun selain BRIVA. Mohon solusinya......",bagus kebingungan mencari bank syariah indonesia bsi virtual akun briva solusinya
Hai admin tolong dong gimana caranya upgrade kok gak bisa terus ya padahal udah diulang beberapa kali tetap aja nggak bisa tolong dong Solusinya 🙏🙏soalnya mau ambil uang jadi ribet,hai admin caranya upgrade terus diulang kali tetap solusinya soalnya ambil uang jadi ribet
KTP sudah mulai buram. Mau daftar selalu gagal. Ada cara lain nggak.? Padahal data sudah sesuai. Cuma masalah KTP saya aj yang buram.,ktp mulai buram daftar gagal cara data sesuai masalah ktp aja buram
"Kesan gk bagus. Coba sekali transaksi,pulsa Smartfren 10ribu,statusnya pending terus. Tidak ada tombol batalkan,jadi transaksi terus aja pending tanpa bisa dibatalkan. Saldo berkurang. Tidak ada cara menghubungi CS online via telegram/whatsapp. Seperti aplikasi tipu2.",kesan gak bagus coba transaksi pulsa smartfren ribu statusnya pending terus tombol batalkan jadi transaksi terus pending dibatalkan saldo berkurang cara menghubungi cs onlen via telegram whatsapp tipu
Mungkin bisa di update pilihan BANK nya karena mengingat sekarang sudah ada Bank Syariah Indonesia (BSI). Dan di menu kirim uang gk ada pilihan Bank BSI nya,update pilihan bank mengingat bank syariah indonesia bsi menu kirim uang gak pilihan bank bsi
"Aplikasi gabisa di andalkan , sudah isi saldo tapi saldo ga bertambah. Sudah komplain tapi di suruh nunggu 3x24 jam. Lama sekali",tidak bisa andalkan isi saldo saldo bertambah komplain suruh menunggu jam
"Haloo min,, Tolong bantu saya Kenapa saya transfer dari bca saya ke link aja saya atas nama sarkowi dengan no minal 300 nggak masuk di link saya padahal dana bca saya udah terpotong dan bukti transfer mbengking ada. Tolong di bantu min proses nya. Terima kasih",haloo min bantu transfer baca link atas nama sarkowi no minal masuk link baca terpotong bukti transfer mbengking bantu min proses terima
"Di versi terbaru ini susah banget login nya,sering logout sendiri sebelumnya tidak ada kendala,versi ini kok jelek bgt mana saldo di link masih ada lagi",versi terbaru susah banget login logout kendala versi jelek banget saldo link
"Hallo min ,kenapa saya kemaren beli token listrik sampe sekarang dipake gagal terus .udah diemail katanya berhasil tp sampe sekarang ngk bisa digunain .tlng dong info jelasny .terima kasih",halo min kemarin beli token listrik dipakai gagal terus diemail katanya berhasil digunain tlng informasi jelasny terima
"Tolong bantu akun yang terblokir donk jangan kalian udah di telpon malah gak membantu sama sekali Malah pulsa saya yg habis sekali nelpon habis 5000 lagi .jadi uang saya udah lengket di aplikasi ini ,dasar pemerasan",bantu akun terblokir telpon membantu pulsa habis nelpon habis jadi uang lengket dasar pemerasan
"Mau upgrade full servis gagal terus pada, padahal data yang masukan benar dan foto ktp juga terang, gimana sih tolong dibantu.",upgrade full servis gagal terus data masukan benar foto ktp terang dibantu
